
> crypto-discord-bot@1.0.0 simple
> node bot-simple.js

🤖 Bot connecté : CrypBu#7222!
Prix mis à jour: 14:22:10
Prix mis à jour: 14:24:10
Prix mis à jour: 14:26:10
Prix mis à jour: 14:28:10
Prix mis à jour: 14:30:11
Prix mis à jour: 14:32:10
Prix mis à jour: 14:34:10
Prix mis à jour: 14:36:10
Prix mis à jour: 14:38:10
Prix mis à jour: 14:40:10
Prix mis à jour: 14:42:11
Prix mis à jour: 14:44:14
Prix mis à jour: 14:46:11
Prix mis à jour: 14:48:10
Prix mis à jour: 14:50:10
Prix mis à jour: 14:52:11
Prix mis à jour: 14:54:11
Prix mis à jour: 14:56:11
Prix mis à jour: 14:58:30
Prix mis à jour: 15:00:13
Prix mis à jour: 15:02:11
Prix mis à jour: 15:04:11
Prix mis à jour: 15:06:11
Prix mis à jour: 15:08:11
Prix mis à jour: 15:10:14
Prix mis à jour: 15:12:11
Prix mis à jour: 15:14:11
Prix mis à jour: 15:16:14
Prix mis à jour: 15:18:11
Prix mis à jour: 15:20:11
Prix mis à jour: 15:22:11
Prix mis à jour: 15:24:15
Prix mis à jour: 15:26:11
Prix mis à jour: 15:28:17
Prix mis à jour: 15:30:11
Prix mis à jour: 15:32:11
Prix mis à jour: 15:34:11
Prix mis à jour: 15:36:11
Prix mis à jour: 15:38:11
Prix mis à jour: 15:40:11
Prix mis à jour: 15:42:11
Prix mis à jour: 15:44:11
Prix mis à jour: 15:46:11
Prix mis à jour: 15:48:11
Prix mis à jour: 15:50:11
Prix mis à jour: 15:52:11
Prix mis à jour: 15:54:11
Prix mis à jour: 15:56:13
Prix mis à jour: 15:58:11
Prix mis à jour: 16:00:11
Prix mis à jour: 16:02:11
Prix mis à jour: 16:04:11
Prix mis à jour: 16:06:11
Prix mis à jour: 16:08:14
Prix mis à jour: 16:10:11
Prix mis à jour: 16:12:13
Prix mis à jour: 16:14:11
Prix mis à jour: 16:16:11
Prix mis à jour: 16:18:11
Prix mis à jour: 16:20:12
Prix mis à jour: 16:22:12
Prix mis à jour: 16:24:11
Prix mis à jour: 16:26:11
Prix mis à jour: 16:28:16
Prix mis à jour: 16:30:12
Prix mis à jour: 16:32:11
Prix mis à jour: 16:34:11
Prix mis à jour: 16:36:11
Prix mis à jour: 16:38:11
Prix mis à jour: 16:40:12
Prix mis à jour: 16:42:15
Prix mis à jour: 16:44:13
Prix mis à jour: 16:46:12
Prix mis à jour: 16:48:12
Prix mis à jour: 16:50:12
Prix mis à jour: 16:52:12
Prix mis à jour: 16:54:12
Prix mis à jour: 16:56:12
Prix mis à jour: 16:58:12
Prix mis à jour: 17:00:13
Prix mis à jour: 17:02:12
Prix mis à jour: 17:04:12
Prix mis à jour: 17:06:13
Prix mis à jour: 17:08:12
Prix mis à jour: 17:10:12
Prix mis à jour: 17:12:12
Prix mis à jour: 17:14:13
Prix mis à jour: 17:16:12
Prix mis à jour: 17:18:17
Prix mis à jour: 17:20:13
Prix mis à jour: 17:22:12
Prix mis à jour: 17:24:12
Prix mis à jour: 17:26:12
Prix mis à jour: 17:28:14
Prix mis à jour: 17:30:12
